wob_min,wob_max,wob_mean,wob_std,wob_skew,wob_kuet,T_min,T_max,T_mean,T_std,T_skew,T_kuet,S,Z,res,序号,岩性名称,设备S,设备Z,静态抗压强度σc/MPa,弹性模量E/GPa,泊松比,抗拉强度 σci /MPa,黏聚力,内摩擦角φ/°,"拉强比
/%","脆性指数
KN/mm",回弹均值 RM,动态强度/MPa, 滑动摩擦系数μ,声级LAeq（dB）,"波速vp
/m·s","密度均值
/g·cm-","渗透率mD
5MPa","孔隙度%
5MPa","粒径Dv(90)
μm"
2.93973,3.5151,3.265942,0.22489436571174673,-0.14910797509734217,-1.6806408389745395,8.948,12.039,10.9342,1.1710991797832022,-0.9287665846360708,-0.7128583225810203,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.00019,3.56268,3.263196666666667,0.19937328325279688,0.37815612481247685,-0.6210283611258665,8.732,12.149,10.458222222222222,1.195334448781781,0.05155576871582852,-1.3296355663304436,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.97977,3.69479,3.321486,0.2771021775927909,0.13264686505177192,-1.9669536477622125,8.484,11.801,10.5991,1.240051024935847,-0.7779505709649678,-1.069481923173138,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.96744,3.64513,3.287692,0.2601161722854703,0.37880415663204225,-1.5764221059833092,8.473,11.712,10.6073,1.0402448483143014,-1.1762532841700897,0.7574516837231542,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.9673,3.67775,3.276188888888889,0.25918150813881596,0.4595222073242579,-1.2358927717119346,8.921,11.849,10.526000000000002,1.1992064042524124,-0.2322721810035998,-1.9840289627386452,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.87555,3.73269,3.295581,0.313961510537341,0.24907487043973825,-1.6399116737510027,8.605,12.429,10.5064,1.2709778562630867,-0.09598714540894325,-1.0655561442260386,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.84182,3.74298,3.3708577777777773,0.3199936439125698,-0.3717122850960651,-1.1439595065252912,9.111,12.36,10.73688888888889,1.3944852495136375,-0.0071567385960598405,-2.2570234356899337,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.86104,3.7989,3.3274009999999996,0.3084879944161343,0.16018996836717228,-0.962460278307276,9.328,12.265,10.780100000000001,1.1127767520936085,-0.15612118342868203,-1.716292415822212,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.88393,3.82561,3.333492222222222,0.35985600550003954,0.029936192128945868,-1.7515548441227589,8.9,11.538,10.383111111111113,0.9918604292495548,-0.5491483740786665,-1.3950722000664602,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.94897,3.7625,3.3888309999999997,0.27114992234514435,-0.037300544747093725,-1.1886117526488333,9.159,11.153,10.3181,0.8442071165037376,-0.6297496387315961,-1.609240229975243,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.89679,3.65927,3.309614444444444,0.21300574241737646,-0.3367598703109972,1.419288184198356,8.547,11.363,10.298555555555556,0.9429138496054542,-0.8979141796939166,-0.385029582121005,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.90837,3.75692,3.3214300000000003,0.27859114806069796,0.2140215663451021,-0.42289632391632725,8.478,11.949,10.2327,1.2903233057390437,-0.13874767446279668,-1.703025140492107,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
